,data,timestamp,participant,document,val,arou,eng
0,0.25,1645100540.453125,P10,D09,0,1,1
1,-0.05,1645100540.46875,P10,D09,0,1,1
2,-0.18,1645100540.484375,P10,D09,0,1,1
3,-0.12,1645100540.5,P10,D09,0,1,1
4,0.06,1645100540.515625,P10,D09,0,1,1
5,0.27,1645100540.53125,P10,D09,0,1,1
6,0.39,1645100540.546875,P10,D09,0,1,1
7,0.37,1645100540.5625,P10,D09,0,1,1
8,0.18,1645100540.578125,P10,D09,0,1,1
9,-0.07,1645100540.59375,P10,D09,0,1,1
10,-0.28,1645100540.609375,P10,D09,0,1,1
11,-0.32,1645100540.625,P10,D09,0,1,1
12,-0.17,1645100540.640625,P10,D09,0,1,1
13,0.11,1645100540.65625,P10,D09,0,1,1
14,0.41,1645100540.671875,P10,D09,0,1,1
15,0.59,1645100540.6875,P10,D09,0,1,1
16,0.61,1645100540.703125,P10,D09,0,1,1
17,0.51,1645100540.71875,P10,D09,0,1,1
18,0.37,1645100540.734375,P10,D09,0,1,1
19,0.28,1645100540.75,P10,D09,0,1,1
20,0.23,1645100540.765625,P10,D09,0,1,1
21,0.19,1645100540.78125,P10,D09,0,1,1
22,0.1,1645100540.796875,P10,D09,0,1,1
23,-0.05,1645100540.8125,P10,D09,0,1,1
24,-0.2,1645100540.828125,P10,D09,0,1,1
25,-0.29,1645100540.84375,P10,D09,0,1,1
26,-0.24,1645100540.859375,P10,D09,0,1,1
27,-0.08,1645100540.875,P10,D09,0,1,1
28,0.1,1645100540.890625,P10,D09,0,1,1
29,0.21,1645100540.90625,P10,D09,0,1,1
30,0.21,1645100540.921875,P10,D09,0,1,1
31,0.13,1645100540.9375,P10,D09,0,1,1
32,0.05,1645100540.953125,P10,D09,0,1,1
33,0.04,1645100540.96875,P10,D09,0,1,1
34,0.15,1645100540.984375,P10,D09,0,1,1
35,0.37,1645100541.0,P10,D09,0,1,1
36,0.63,1645100541.015625,P10,D09,0,1,1
37,0.89,1645100541.03125,P10,D09,0,1,1
38,1.1,1645100541.046875,P10,D09,0,1,1
39,1.27,1645100541.0625,P10,D09,0,1,1
40,1.42,1645100541.078125,P10,D09,0,1,1
41,1.56,1645100541.09375,P10,D09,0,1,1
42,1.7,1645100541.109375,P10,D09,0,1,1
43,1.83,1645100541.125,P10,D09,0,1,1
44,1.93,1645100541.140625,P10,D09,0,1,1
45,2.0,1645100541.15625,P10,D09,0,1,1
46,2.07,1645100541.171875,P10,D09,0,1,1
47,2.16,1645100541.1875,P10,D09,0,1,1
48,2.27,1645100541.203125,P10,D09,0,1,1
49,2.39,1645100541.21875,P10,D09,0,1,1
50,2.47,1645100541.234375,P10,D09,0,1,1
51,2.5,1645100541.25,P10,D09,0,1,1
52,2.51,1645100541.265625,P10,D09,0,1,1
53,2.6,1645100541.28125,P10,D09,0,1,1
54,2.87,1645100541.296875,P10,D09,0,1,1
55,3.32,1645100541.3125,P10,D09,0,1,1
56,3.86,1645100541.328125,P10,D09,0,1,1
57,4.24,1645100541.34375,P10,D09,0,1,1
58,4.16,1645100541.359375,P10,D09,0,1,1
59,3.41,1645100541.375,P10,D09,0,1,1
60,1.94,1645100541.390625,P10,D09,0,1,1
61,-0.1,1645100541.40625,P10,D09,0,1,1
62,-2.4,1645100541.421875,P10,D09,0,1,1
63,-4.59,1645100541.4375,P10,D09,0,1,1
64,-6.37,1645100541.453125,P10,D09,0,1,1
65,-7.57,1645100541.46875,P10,D09,0,1,1
66,-8.11,1645100541.484375,P10,D09,0,1,1
67,-8.04,1645100541.5,P10,D09,0,1,1
68,-7.46,1645100541.515625,P10,D09,0,1,1
69,-6.59,1645100541.53125,P10,D09,0,1,1
70,-5.66,1645100541.546875,P10,D09,0,1,1
71,-4.92,1645100541.5625,P10,D09,0,1,1
72,-4.52,1645100541.578125,P10,D09,0,1,1
73,-4.45,1645100541.59375,P10,D09,0,1,1
74,-4.53,1645100541.609375,P10,D09,0,1,1
75,-4.48,1645100541.625,P10,D09,0,1,1
76,-4.08,1645100541.640625,P10,D09,0,1,1
77,-3.29,1645100541.65625,P10,D09,0,1,1
78,-2.29,1645100541.671875,P10,D09,0,1,1
79,-1.35,1645100541.6875,P10,D09,0,1,1
80,-0.73,1645100541.703125,P10,D09,0,1,1
81,-0.54,1645100541.71875,P10,D09,0,1,1
82,-0.71,1645100541.734375,P10,D09,0,1,1
83,-1.06,1645100541.75,P10,D09,0,1,1
84,-1.41,1645100541.765625,P10,D09,0,1,1
85,-1.65,1645100541.78125,P10,D09,0,1,1
86,-1.74,1645100541.796875,P10,D09,0,1,1
87,-1.66,1645100541.8125,P10,D09,0,1,1
88,-1.41,1645100541.828125,P10,D09,0,1,1
89,-0.95,1645100541.84375,P10,D09,0,1,1
90,-0.31,1645100541.859375,P10,D09,0,1,1
91,0.41,1645100541.875,P10,D09,0,1,1
92,1.05,1645100541.890625,P10,D09,0,1,1
93,1.48,1645100541.90625,P10,D09,0,1,1
94,1.58,1645100541.921875,P10,D09,0,1,1
95,1.39,1645100541.9375,P10,D09,0,1,1
96,1.03,1645100541.953125,P10,D09,0,1,1
97,0.64,1645100541.96875,P10,D09,0,1,1
98,0.39,1645100541.984375,P10,D09,0,1,1
99,0.35,1645100542.0,P10,D09,0,1,1
100,0.55,1645100542.015625,P10,D09,0,1,1
101,0.9,1645100542.03125,P10,D09,0,1,1
102,1.3,1645100542.046875,P10,D09,0,1,1
103,1.58,1645100542.0625,P10,D09,0,1,1
104,1.64,1645100542.078125,P10,D09,0,1,1
105,1.43,1645100542.09375,P10,D09,0,1,1
106,1.02,1645100542.109375,P10,D09,0,1,1
107,0.57,1645100542.125,P10,D09,0,1,1
108,0.26,1645100542.140625,P10,D09,0,1,1
109,0.2,1645100542.15625,P10,D09,0,1,1
110,0.43,1645100542.171875,P10,D09,0,1,1
111,0.83,1645100542.1875,P10,D09,0,1,1
112,1.25,1645100542.203125,P10,D09,0,1,1
113,1.54,1645100542.21875,P10,D09,0,1,1
114,1.64,1645100542.234375,P10,D09,0,1,1
115,1.56,1645100542.25,P10,D09,0,1,1
116,1.37,1645100542.265625,P10,D09,0,1,1
