,acc_x,acc_y,acc_z,timestamp,participant,document,val,arou,eng
0,-14.0,20.0,58.0,1645174177.0,P13,D02,1,1,1
1,-14.0,20.0,58.0,1645174177.03125,P13,D02,1,1,1
2,-13.0,20.0,58.0,1645174177.0625,P13,D02,1,1,1
3,-14.0,20.0,58.0,1645174177.09375,P13,D02,1,1,1
4,-14.0,20.0,58.0,1645174177.125,P13,D02,1,1,1
5,-14.0,20.0,58.0,1645174177.15625,P13,D02,1,1,1
6,-14.0,20.0,58.0,1645174177.1875,P13,D02,1,1,1
7,-14.0,20.0,58.0,1645174177.21875,P13,D02,1,1,1
8,-14.0,20.0,58.0,1645174177.25,P13,D02,1,1,1
9,-14.0,20.0,58.0,1645174177.28125,P13,D02,1,1,1
10,-12.0,20.0,58.0,1645174177.3125,P13,D02,1,1,1
11,-15.0,20.0,58.0,1645174177.34375,P13,D02,1,1,1
12,-13.0,20.0,58.0,1645174177.375,P13,D02,1,1,1
13,-13.0,20.0,58.0,1645174177.40625,P13,D02,1,1,1
14,-15.0,20.0,58.0,1645174177.4375,P13,D02,1,1,1
15,-14.0,19.0,58.0,1645174177.46875,P13,D02,1,1,1
16,-15.0,20.0,58.0,1645174177.5,P13,D02,1,1,1
17,-15.0,20.0,58.0,1645174177.53125,P13,D02,1,1,1
18,-13.0,20.0,58.0,1645174177.5625,P13,D02,1,1,1
19,-15.0,19.0,58.0,1645174177.59375,P13,D02,1,1,1
20,-13.0,20.0,58.0,1645174177.625,P13,D02,1,1,1
21,-13.0,20.0,58.0,1645174177.65625,P13,D02,1,1,1
22,-14.0,20.0,58.0,1645174177.6875,P13,D02,1,1,1
23,-14.0,19.0,58.0,1645174177.71875,P13,D02,1,1,1
24,-13.0,20.0,58.0,1645174177.75,P13,D02,1,1,1
25,-14.0,20.0,58.0,1645174177.78125,P13,D02,1,1,1
26,-13.0,20.0,58.0,1645174177.8125,P13,D02,1,1,1
27,-15.0,19.0,58.0,1645174177.84375,P13,D02,1,1,1
28,-14.0,20.0,58.0,1645174177.875,P13,D02,1,1,1
29,-15.0,20.0,58.0,1645174177.90625,P13,D02,1,1,1
30,-13.0,20.0,58.0,1645174177.9375,P13,D02,1,1,1
31,-14.0,20.0,58.0,1645174177.96875,P13,D02,1,1,1
32,-13.0,19.0,58.0,1645174178.0,P13,D02,1,1,1
33,-13.0,20.0,58.0,1645174178.03125,P13,D02,1,1,1
34,-13.0,19.0,58.0,1645174178.0625,P13,D02,1,1,1
35,-15.0,19.0,58.0,1645174178.09375,P13,D02,1,1,1
36,-13.0,20.0,58.0,1645174178.125,P13,D02,1,1,1
37,-14.0,20.0,58.0,1645174178.15625,P13,D02,1,1,1
38,-15.0,19.0,58.0,1645174178.1875,P13,D02,1,1,1
39,-14.0,19.0,58.0,1645174178.21875,P13,D02,1,1,1
40,-14.0,19.0,58.0,1645174178.25,P13,D02,1,1,1
41,-14.0,20.0,58.0,1645174178.28125,P13,D02,1,1,1
42,-14.0,20.0,58.0,1645174178.3125,P13,D02,1,1,1
43,-14.0,20.0,58.0,1645174178.34375,P13,D02,1,1,1
44,-14.0,20.0,58.0,1645174178.375,P13,D02,1,1,1
45,-15.0,19.0,58.0,1645174178.40625,P13,D02,1,1,1
46,-13.0,20.0,58.0,1645174178.4375,P13,D02,1,1,1
47,-15.0,20.0,58.0,1645174178.46875,P13,D02,1,1,1
