,data,timestamp,participant,document,val,arou,eng
0,5.731943,1645175950.25,P13,D09,1,1,1
1,5.703747,1645175950.5,P13,D09,1,1,1
2,5.476897,1645175950.75,P13,D09,1,1,1
3,5.447419,1645175951.0,P13,D09,1,1,1
4,5.801152,1645175951.25,P13,D09,1,1,1
5,6.240754,1645175951.5,P13,D09,1,1,1
6,6.530405,1645175951.75,P13,D09,1,1,1
7,6.78358,1645175952.0,P13,D09,1,1,1
8,6.669514,1645175952.25,P13,D09,1,1,1
9,7.052724,1645175952.5,P13,D09,1,1,1
10,7.53277,1645175952.75,P13,D09,1,1,1
11,7.806573,1645175953.0,P13,D09,1,1,1
12,7.771969,1645175953.25,P13,D09,1,1,1
13,7.654058,1645175953.5,P13,D09,1,1,1
14,7.545119,1645175953.75,P13,D09,1,1,1
15,7.237525,1645175954.0,P13,D09,1,1,1
16,7.054251,1645175954.25,P13,D09,1,1,1
17,6.958128,1645175954.5,P13,D09,1,1,1
18,6.786388,1645175954.75,P13,D09,1,1,1
19,6.540781,1645175955.0,P13,D09,1,1,1
20,6.479262,1645175955.25,P13,D09,1,1,1
21,6.449784,1645175955.5,P13,D09,1,1,1
22,6.312649,1645175955.75,P13,D09,1,1,1
23,6.21325,1645175956.0,P13,D09,1,1,1
24,6.311936,1645175956.25,P13,D09,1,1,1
25,6.265798,1645175956.5,P13,D09,1,1,1
26,6.255544,1645175956.75,P13,D09,1,1,1
27,6.282459,1645175957.0,P13,D09,1,1,1
28,6.323471,1645175957.25,P13,D09,1,1,1
29,6.346541,1645175957.5,P13,D09,1,1,1
30,6.304246,1645175957.75,P13,D09,1,1,1
31,6.20556,1645175958.0,P13,D09,1,1,1
32,6.073552,1645175958.25,P13,D09,1,1,1
33,6.060735,1645175958.5,P13,D09,1,1,1
34,6.015878,1645175958.75,P13,D09,1,1,1
35,6.060735,1645175959.0,P13,D09,1,1,1
36,6.091495,1645175959.25,P13,D09,1,1,1
37,6.088931,1645175959.5,P13,D09,1,1,1
38,6.070988,1645175959.75,P13,D09,1,1,1
39,6.067143,1645175960.0,P13,D09,1,1,1
40,6.05689,1645175960.25,P13,D09,1,1,1
41,6.023568,1645175960.5,P13,D09,1,1,1
42,5.973584,1645175960.75,P13,D09,1,1,1
43,5.979992,1645175961.0,P13,D09,1,1,1
44,5.965894,1645175961.25,P13,D09,1,1,1
45,5.955641,1645175961.5,P13,D09,1,1,1
46,5.942824,1645175961.75,P13,D09,1,1,1
47,5.905657,1645175962.0,P13,D09,1,1,1
48,5.902401,1645175962.25,P13,D09,1,1,1
49,5.883176,1645175962.5,P13,D09,1,1,1
50,5.856262,1645175962.75,P13,D09,1,1,1
51,5.824221,1645175963.0,P13,D09,1,1,1
52,5.790898,1645175963.25,P13,D09,1,1,1
53,5.765265,1645175963.5,P13,D09,1,1,1
54,5.738351,1645175963.75,P13,D09,1,1,1
55,5.728098,1645175964.0,P13,D09,1,1,1
56,5.720408,1645175964.25,P13,D09,1,1,1
57,5.726817,1645175964.5,P13,D09,1,1,1
58,5.696057,1645175964.75,P13,D09,1,1,1
59,5.660171,1645175965.0,P13,D09,1,1,1
60,5.633257,1645175965.25,P13,D09,1,1,1
61,5.619159,1645175965.5,P13,D09,1,1,1
62,5.607624,1645175965.75,P13,D09,1,1,1
63,5.583273,1645175966.0,P13,D09,1,1,1
64,5.55764,1645175966.25,P13,D09,1,1,1
65,5.544824,1645175966.5,P13,D09,1,1,1
66,5.535852,1645175966.75,P13,D09,1,1,1
67,5.529444,1645175967.0,P13,D09,1,1,1
68,5.515346,1645175967.25,P13,D09,1,1,1
69,5.51022,1645175967.5,P13,D09,1,1,1
70,5.503811,1645175967.75,P13,D09,1,1,1
71,5.493558,1645175968.0,P13,D09,1,1,1
72,5.483305,1645175968.25,P13,D09,1,1,1
73,5.478179,1645175968.5,P13,D09,1,1,1
74,5.470489,1645175968.75,P13,D09,1,1,1
75,5.462799,1645175969.0,P13,D09,1,1,1
76,5.451264,1645175969.25,P13,D09,1,1,1
77,5.442293,1645175969.5,P13,D09,1,1,1
78,5.429476,1645175969.75,P13,D09,1,1,1
79,5.423068,1645175970.0,P13,D09,1,1,1
80,5.413274,1645175970.25,P13,D09,1,1,1
81,5.40302,1645175970.5,P13,D09,1,1,1
82,5.394049,1645175970.75,P13,D09,1,1,1
83,5.391486,1645175971.0,P13,D09,1,1,1
84,5.378669,1645175971.25,P13,D09,1,1,1
85,5.358163,1645175971.5,P13,D09,1,1,1
86,5.349192,1645175971.75,P13,D09,1,1,1
87,5.344065,1645175972.0,P13,D09,1,1,1
88,5.344065,1645175972.25,P13,D09,1,1,1
89,5.3556,1645175972.5,P13,D09,1,1,1
90,5.349192,1645175972.75,P13,D09,1,1,1
91,5.328685,1645175973.0,P13,D09,1,1,1
92,5.314588,1645175973.25,P13,D09,1,1,1
93,5.314588,1645175973.5,P13,D09,1,1,1
94,5.317151,1645175973.75,P13,D09,1,1,1
95,5.318432,1645175974.0,P13,D09,1,1,1
96,5.317151,1645175974.25,P13,D09,1,1,1
97,5.300489,1645175974.5,P13,D09,1,1,1
98,5.304334,1645175974.75,P13,D09,1,1,1
99,5.3556,1645175975.0,P13,D09,1,1,1
100,5.500425,1645175975.25,P13,D09,1,1,1
101,5.686263,1645175975.5,P13,D09,1,1,1
102,5.823399,1645175975.75,P13,D09,1,1,1
103,5.904142,1645175976.0,P13,D09,1,1,1
104,5.946436,1645175976.25,P13,D09,1,1,1
105,5.994679,1645175976.5,P13,D09,1,1,1
106,5.962638,1645175976.75,P13,D09,1,1,1
107,5.908809,1645175977.0,P13,D09,1,1,1
108,5.831911,1645175977.25,P13,D09,1,1,1
109,5.794744,1645175977.5,P13,D09,1,1,1
110,5.731943,1645175977.75,P13,D09,1,1,1
111,5.692212,1645175978.0,P13,D09,1,1,1
112,5.653763,1645175978.25,P13,D09,1,1,1
113,5.630693,1645175978.5,P13,D09,1,1,1
114,5.601216,1645175978.75,P13,D09,1,1,1
115,5.574301,1645175979.0,P13,D09,1,1,1
116,5.562767,1645175979.25,P13,D09,1,1,1
117,5.540979,1645175979.5,P13,D09,1,1,1
118,5.520473,1645175979.75,P13,D09,1,1,1
119,5.505093,1645175980.0,P13,D09,1,1,1
120,5.506374,1645175980.25,P13,D09,1,1,1
121,5.50253,1645175980.5,P13,D09,1,1,1
122,5.483305,1645175980.75,P13,D09,1,1,1
123,5.469207,1645175981.0,P13,D09,1,1,1
124,5.449982,1645175981.25,P13,D09,1,1,1
125,5.441011,1645175981.5,P13,D09,1,1,1
126,5.424349,1645175981.75,P13,D09,1,1,1
127,5.415837,1645175982.0,P13,D09,1,1,1
128,5.411992,1645175982.25,P13,D09,1,1,1
129,5.396612,1645175982.5,P13,D09,1,1,1
130,5.373543,1645175982.75,P13,D09,1,1,1
131,5.368416,1645175983.0,P13,D09,1,1,1
132,5.364572,1645175983.25,P13,D09,1,1,1
133,5.353036,1645175983.5,P13,D09,1,1,1
134,5.3556,1645175983.75,P13,D09,1,1,1
