,data,timestamp,participant,document,val,arou,eng
0,30.09,1645192620.5,P16,D07,1,1,0
1,30.09,1645192620.75,P16,D07,1,1,0
2,30.09,1645192621.0,P16,D07,1,1,0
3,30.09,1645192621.25,P16,D07,1,1,0
4,30.09,1645192621.5,P16,D07,1,1,0
5,30.09,1645192621.75,P16,D07,1,1,0
6,30.07,1645192622.0,P16,D07,1,1,0
7,30.07,1645192622.25,P16,D07,1,1,0
8,30.07,1645192622.5,P16,D07,1,1,0
9,30.07,1645192622.75,P16,D07,1,1,0
10,30.07,1645192623.0,P16,D07,1,1,0
11,30.07,1645192623.25,P16,D07,1,1,0
12,30.07,1645192623.5,P16,D07,1,1,0
13,30.07,1645192623.75,P16,D07,1,1,0
14,30.09,1645192624.0,P16,D07,1,1,0
15,30.09,1645192624.25,P16,D07,1,1,0
16,30.09,1645192624.5,P16,D07,1,1,0
17,30.09,1645192624.75,P16,D07,1,1,0
18,30.09,1645192625.0,P16,D07,1,1,0
19,30.09,1645192625.25,P16,D07,1,1,0
20,30.09,1645192625.5,P16,D07,1,1,0
21,30.09,1645192625.75,P16,D07,1,1,0
22,30.09,1645192626.0,P16,D07,1,1,0
23,30.09,1645192626.25,P16,D07,1,1,0
24,30.09,1645192626.5,P16,D07,1,1,0
25,30.09,1645192626.75,P16,D07,1,1,0
26,30.07,1645192627.0,P16,D07,1,1,0
27,30.07,1645192627.25,P16,D07,1,1,0
28,30.07,1645192627.5,P16,D07,1,1,0
29,30.07,1645192627.75,P16,D07,1,1,0
30,30.09,1645192628.0,P16,D07,1,1,0
31,30.09,1645192628.25,P16,D07,1,1,0
32,30.09,1645192628.5,P16,D07,1,1,0
33,30.09,1645192628.75,P16,D07,1,1,0
34,30.07,1645192629.0,P16,D07,1,1,0
35,30.07,1645192629.25,P16,D07,1,1,0
36,30.07,1645192629.5,P16,D07,1,1,0
37,30.07,1645192629.75,P16,D07,1,1,0
38,30.07,1645192630.0,P16,D07,1,1,0
39,30.07,1645192630.25,P16,D07,1,1,0
40,30.07,1645192630.5,P16,D07,1,1,0
41,30.07,1645192630.75,P16,D07,1,1,0
42,30.07,1645192631.0,P16,D07,1,1,0
43,30.07,1645192631.25,P16,D07,1,1,0
44,30.07,1645192631.5,P16,D07,1,1,0
45,30.07,1645192631.75,P16,D07,1,1,0
46,30.05,1645192632.0,P16,D07,1,1,0
47,30.05,1645192632.25,P16,D07,1,1,0
48,30.05,1645192632.5,P16,D07,1,1,0
49,30.05,1645192632.75,P16,D07,1,1,0
50,30.09,1645192633.0,P16,D07,1,1,0
51,30.09,1645192633.25,P16,D07,1,1,0
52,30.09,1645192633.5,P16,D07,1,1,0
53,30.09,1645192633.75,P16,D07,1,1,0
54,30.07,1645192634.0,P16,D07,1,1,0
55,30.07,1645192634.25,P16,D07,1,1,0
56,30.07,1645192634.5,P16,D07,1,1,0
57,30.07,1645192634.75,P16,D07,1,1,0
58,30.09,1645192635.0,P16,D07,1,1,0
59,30.09,1645192635.25,P16,D07,1,1,0
60,30.09,1645192635.5,P16,D07,1,1,0
61,30.09,1645192635.75,P16,D07,1,1,0
62,30.09,1645192636.0,P16,D07,1,1,0
63,30.09,1645192636.25,P16,D07,1,1,0
64,30.09,1645192636.5,P16,D07,1,1,0
65,30.09,1645192636.75,P16,D07,1,1,0
66,30.07,1645192637.0,P16,D07,1,1,0
67,30.07,1645192637.25,P16,D07,1,1,0
68,30.07,1645192637.5,P16,D07,1,1,0
69,30.07,1645192637.75,P16,D07,1,1,0
70,30.09,1645192638.0,P16,D07,1,1,0
71,30.09,1645192638.25,P16,D07,1,1,0
72,30.09,1645192638.5,P16,D07,1,1,0
73,30.09,1645192638.75,P16,D07,1,1,0
74,30.09,1645192639.0,P16,D07,1,1,0
75,30.09,1645192639.25,P16,D07,1,1,0
76,30.09,1645192639.5,P16,D07,1,1,0
77,30.09,1645192639.75,P16,D07,1,1,0
78,30.09,1645192640.0,P16,D07,1,1,0
79,30.09,1645192640.25,P16,D07,1,1,0
80,30.09,1645192640.5,P16,D07,1,1,0
81,30.09,1645192640.75,P16,D07,1,1,0
82,30.09,1645192641.0,P16,D07,1,1,0
83,30.09,1645192641.25,P16,D07,1,1,0
84,30.09,1645192641.5,P16,D07,1,1,0
85,30.09,1645192641.75,P16,D07,1,1,0
86,30.09,1645192642.0,P16,D07,1,1,0
87,30.09,1645192642.25,P16,D07,1,1,0
88,30.09,1645192642.5,P16,D07,1,1,0
89,30.09,1645192642.75,P16,D07,1,1,0
90,30.11,1645192643.0,P16,D07,1,1,0
91,30.11,1645192643.25,P16,D07,1,1,0
92,30.11,1645192643.5,P16,D07,1,1,0
93,30.11,1645192643.75,P16,D07,1,1,0
94,30.07,1645192644.0,P16,D07,1,1,0
95,30.07,1645192644.25,P16,D07,1,1,0
96,30.07,1645192644.5,P16,D07,1,1,0
97,30.07,1645192644.75,P16,D07,1,1,0
98,30.09,1645192645.0,P16,D07,1,1,0
99,30.09,1645192645.25,P16,D07,1,1,0
100,30.09,1645192645.5,P16,D07,1,1,0
101,30.09,1645192645.75,P16,D07,1,1,0
102,30.09,1645192646.0,P16,D07,1,1,0
103,30.09,1645192646.25,P16,D07,1,1,0
104,30.09,1645192646.5,P16,D07,1,1,0
105,30.09,1645192646.75,P16,D07,1,1,0
106,30.07,1645192647.0,P16,D07,1,1,0
107,30.07,1645192647.25,P16,D07,1,1,0
108,30.07,1645192647.5,P16,D07,1,1,0
109,30.07,1645192647.75,P16,D07,1,1,0
110,30.09,1645192648.0,P16,D07,1,1,0
111,30.09,1645192648.25,P16,D07,1,1,0
